#			1
GMJI   20.80    1.000   P
PWJI   22.20    1.000   P
JAGI   26.50    1.000   P
GMJI   36.90    1.000   S
JAGI   47.40    1.000   S
#			38
PCJI   19.00    1.000   P
PWJI   26.50    1.000   P
SWJI   30.70    1.000   P
PCJI   34.60    1.000   S
CMJI   36.20    1.000   P
#			39
GMJI   24.50    1.000   P
PWJI   24.50    1.000   P
SWJI   25.30    1.000   P
PCJI   27.70    1.000   P
GRJI   28.70    1.000   P
JAGI   30.80    1.000   P
TBJI   31.80    1.000   P
PWJI   42.50    1.000   S
GMJI   42.80    1.000   S
JAGI   53.30    1.000   S
#			40
PCJI   16.30    1.000   P
PWJI   25.10    1.000   P
SWJI   27.70    1.000   P
SCJI   29.60    1.000   P
PCJI   31.40    1.000   S
SMRI   32.10    1.000   P
KPJI   36.60    1.000   P
CTJI   38.60    1.000   P
PWJI   44.00    1.000   S
GMJI   46.00    1.000   P
SWJI   51.20    1.000   S
KPJI   65.60    1.000   S
#			41
PCJI   16.50    1.000   P
PWJI   24.80    1.000   P
SWJI   27.90    1.000   P
PCJI   30.40    1.000   S
KPJI   37.10    1.000   P
CTJI   39.20    1.000   P
GMJI   45.70    1.000   P
CTJI   69.10    1.000   S
#			42
PCJI   11.70    1.000   P
PWJI   19.60    1.000   P
PCJI   21.80    1.000   S
SWJI   23.80    1.000   P
PWJI   35.30    1.000   S
SWJI   41.50    1.000   S
#			43
PCJI   16.30    1.000   P
PWJI   17.10    1.000   P
SWJI   19.60    1.000   P
PCJI   29.60    1.000   S
PWJI   30.90    1.000   S
SWJI   34.80    1.000   S
#			44
PCJI   11.70    1.000   P
PCJI   20.10    1.000   S
PWJI   21.00    1.000   P
SWJI   23.80    1.000   P
SCJI   29.30    1.000   P
PWJI   35.80    1.000   S
CTJI   36.70    1.000   P
SWJI   42.00    1.000   S
#			45
PWJI   18.10    1.000   P
GMJI   18.80    1.000   P
PCJI   23.60    1.000   P
BLJI   25.10    1.000   P
JAGI   26.40    1.000   P
#			46
PWJI   23.30    1.000   P
PCJI   27.20    1.000   P
SWJI   27.20    1.000   P
JAGI   28.00    1.000   P
BLJI   29.70    1.000   P
ABJI   36.00    1.000   P
GRJI   36.80    1.000   P
PWJI   39.80    1.000   S
TBJI   40.00    1.000   P
KMMI   40.90    1.000   P
SMRI   46.10    1.000   P
PCJI   47.10    1.000   S
SWJI   48.40    1.000   S
JAGI   50.10    1.000   S
BLJI   51.80    1.000   S
SCJI   54.80    1.000   P
CMJI   61.90    1.000   P
ABJI   63.30    1.000   S
GRJI   63.80    1.000   S
CGJI   103.60    1.000   P
#			47
GMJI   22.50    1.000   P
JAGI   26.30    1.000   P
PWJI   27.10    1.000   P
BLJI   30.10    1.000   P
BYJI   31.40    1.000   P
SWJI   32.00    1.000   P
PCJI   32.60    1.000   P
ABJI   33.90    1.000   P
JAGI   47.80    1.000   S
PCJI   57.90    1.000   S
#			48
PWJI   31.40    1.000   P
SCJI   34.90    1.000   P
SWJI   35.50    1.000   P
CMJI   40.90    1.000   P
PWJI   54.70    1.000   S
SWJI   63.60    1.000   S
#			49
PCJI   11.60    1.000   P
PWJI   14.10    1.000   P
SWJI   18.50    1.000   P
PWJI   20.90    1.000   S
PCJI   21.80    1.000   S
GMJI   30.60    1.000   P
BLJI   36.40    1.000   P
JAGI   40.00    1.000   P
CTJI   41.90    1.000   P
ABJI   43.90    1.000   P
CMJI   47.40    1.000   P
GMJI   55.70    1.000   S
#			50
PCJI   19.00    1.000   P
SCJI   24.80    1.000   P
PWJI   28.20    1.000   P
SWJI   30.70    1.000   P
CMJI   31.90    1.000   P
CTJI   33.50    1.000   P
PWJI   49.10    1.000   S
GMJI   49.20    1.000   P
SWJI   53.50    1.000   S
#			51
GMJI   18.40    1.000   P
JAGI   23.20    1.000   P
PWJI   26.50    1.000   P
BLJI   26.80    1.000   P
BYJI   28.60    1.000   P
SWJI   30.00    1.000   P
ABJI   31.30    1.000   P
GMJI   32.00    1.000   S
PCJI   32.00    1.000   P
GRJI   37.00    1.000   P
KMMI   37.50    1.000   P
JAGI   39.70    1.000   S
TBJI   41.10    1.000   P
PWJI   46.00    1.000   S
BLJI   47.30    1.000   S
SMRI   50.00    1.000   P
BYJI   50.50    1.000   S
BWJI   51.00    1.000   P
SWJI   54.90    1.000   S
PCJI   55.60    1.000   S
ABJI   56.20    1.000   S
SCJI   59.60    1.000   P
CTJI   64.00    1.000   P
GRJI   64.60    1.000   S
CMJI   67.40    1.000   P
TBJI   71.10    1.000   S
CGJI   110.00    1.000   P
#			52
SWJI   5.80    1.000   P
PWJI   7.10    1.000   P
PWJI   11.30    1.000   S
PCJI   11.80    1.000   P
PCJI   19.30    1.000   S
#			53
PWJI   20.70    1.000   P
GMJI   21.60    1.000   P
SWJI   24.60    1.000   P
PCJI   25.30    1.000   P
BLJI   28.60    1.000   P
JAGI   28.80    1.000   P
