X          Y          VP
112.799683 -9.698982   2.697 
111.083594 -5.814260 567.028 
112.499259 -8.668135 126.217 
110.474194 -9.440737   4.318 
112.814030 -9.758790   7.008 
112.838851 -9.795673   9.233 
112.834766 -9.760804  13.334 
112.845565 -9.693595   6.201 
112.794116 -9.821798   9.574 
111.209871 -9.049131   5.262 
110.421891 -9.260619   0.876 
111.439681 -9.065145   6.117 
110.425854 -9.484843   1.693 
110.397477 -9.391250  54.217 
110.357935 -9.416228   3.267 
110.307471 -9.474743   5.250 
110.471558 -9.452407  15.087 
110.576253 -9.577985   4.617 
110.338981 -9.270722  23.700 
112.111849 -8.442697 169.258 
111.433154 -11.00370  79.9488 
112.834717 -9.582262  65.436 
111.489355 -9.179225   5.923 
110.326953 -8.968707  18.771 
110.307170 -8.341987  99.715 
112.871672 -9.461687   5.512 
111.160010 -6.058824   6.612 
110.453174 -8.027779  -0.768 
110.309603 -8.979543  96.959 
110.899837 -8.840650   8.556 
110.480770 -7.223155 252.003 
111.393864 -8.094071 139.800 
111.208496 -6.185690  30.747 
111.548617 -9.274360   4.833 
110.487703 -8.840810  18.672 
111.469198 -8.817057  41.435 
111.712980 -7.750232   5.205 
111.167310 -8.982716  10.610 
110.545907 -5.859442 558.628 
111.289209 -9.145941   3.348 
110.900448 -10.19167  14.0189 
112.473128 -8.956104  18.923 
110.098804 -8.831839  14.091 
112.774715 -9.674658   0.223 
111.106047 -11.24512  15.0913 
111.269401 -9.067652   8.146 
112.649333 -9.417689  54.472 
112.609611 -9.602738   1.774 
112.617863 -9.466672  80.866 
112.456494 -8.905304  58.422 
112.534188 -9.758886  24.370 
110.910164 -8.993494  24.574 
110.678239 -7.719523  15.442 
110.740430 -8.527366   5.760 
112.979500 -9.307685   7.133 
111.146541 -8.515695  71.803 
109.949894 -9.011474   3.496 
112.497363 -8.852709  47.651 
110.244808 -8.957404   2.535 
111.681388 -8.319804  29.379 
111.632756 -9.229171  16.126 
111.808691 -8.738311 100.828 
110.034798 -8.789392   3.794 
111.902091 -7.635018   6.067 
111.722257 -7.750472   5.697 
112.210376 -8.665770  98.902 
111.840283 -8.435565 115.420 
111.822005 -7.642114   6.999 
111.747559 -7.708261   6.594 
111.749308 -7.724532   7.665 
111.944564 -8.365755 101.106 
112.606738 -11.03432   3.9184 
110.803866 -10.73625  12.6289 
111.428931 -8.906727  22.275 
110.385913 -9.099097  18.236 
110.368050 -9.156244  13.892 
110.313566 -9.285277   2.884 
112.958854 -9.456637  20.350 
110.513477 -9.056205   2.900 
110.207796 -8.939265   4.291 
111.508105 -8.448624 120.392 
110.486507 -8.036436   5.576 
112.289372 -10.50131   5.1403 
110.473535 -8.952498   5.705 
111.391895 -8.841171  86.188 
112.862191 -9.306278   3.650 
110.498633 -8.037848   7.040 
111.855754 -9.339824  10.889 
111.556437 -7.781346   9.564 
111.183122 -8.482141   2.204 
111.824357 -9.376113   1.014 
110.400618 -9.398778  32.790 
110.458439 -9.244384   7.704 
110.424544 -9.260196   4.503 
110.487964 -9.378259  -0.742 
110.425993 -9.290321  16.950 
110.458480 -9.214321   2.189 
111.848796 -7.540578   7.753 
112.690202 -9.545657   2.957 
111.313159 -8.867495  17.193 
110.823234 -8.735108   5.098 
112.875488 -9.668120   4.862 
111.721273 -8.104487 119.601 
112.370272 -8.917232  34.096 
110.548747 -7.728448   6.183 
110.491732 -8.034127   6.939 
110.642228 -9.053624   3.232 
112.814689 -8.515443 123.888 
111.595475 -8.359478  84.309 
110.891121 -6.331593   3.292 
111.623527 -8.806663  25.612 
111.366927 -8.978014   6.871 
112.778621 -8.038851  10.571 
112.913647 -9.643034   3.099 
112.725602 -9.676776   2.383 
110.466960 -7.961949   2.188 
111.798820 -8.067025 128.734 
111.763159 -8.306089 113.937 
111.940096 -10.42117 116.2946 
111.285164 -9.034329   1.792 
111.206307 -10.26142  18.9324 
112.521574 -8.900004  21.873 
110.288835 -8.947955  87.019 
112.328507 -9.567190  63.995 
111.138639 -10.20920  52.8234 
110.348535 -8.896451  23.871 
110.568872 -8.163864  12.705 
110.509863 -7.866558  28.833 
112.316154 -8.942815  22.730 
110.471566 -8.756813   4.313 
110.489421 -9.119798   4.441 
110.035734 -9.422626   2.515 
112.245809 -9.127769  30.449 
112.953166 -9.428122  22.969 
112.963615 -9.364224  10.324 
112.891178 -9.386208   5.633 
112.885449 -9.801074   6.346 
110.462451 -9.292215   0.821 
111.272965 -8.398556  99.022 
112.918742 -9.594070   3.325 
110.363826 -8.513195  82.899 
111.327995 -8.969565   5.435 
110.144710 -9.112569   1.118 
112.890853 -9.404291   4.486 
110.515072 -8.754532  24.266 
112.792952 -9.756242   2.536 
110.275610 -8.252126 131.336 
112.785750 -9.572856   6.247 
111.410270 -11.17662 101.3742 
110.056722 -8.962002   3.928 
110.437410 -8.054384  21.286 
112.819865 -9.605644   1.920 
112.222176 -9.153365  12.312 
111.171753 -8.905281  17.631 
110.734912 -7.579248  45.874 
112.533773 -8.697541 112.120 
112.600659 -8.453490 132.358 
111.228101 -8.943104  11.996 
110.638306 -9.296085   6.045 
112.398389 -11.12797  64.3349 
111.206396 -8.880913  17.905 
111.310824 -8.757336  65.209 
112.192594 -8.936338  15.360 
112.786336 -9.596566  21.453 
112.868783 -9.210508   5.420 
112.897030 -9.300946   3.337 
110.762215 -9.102374  11.568 
110.451449 -9.152088   1.881 
112.495435 -8.874039  37.436 
110.768229 -8.493876   0.933 
112.540438 -8.916513  20.510 
112.032308 -7.436801  26.854 
111.833846 -7.440173   2.357 
111.862305 -7.447794   8.465 
111.866073 -7.488621  13.034 
111.912191 -7.444293   7.626 
111.391528 -7.710863  27.781 
111.981974 -7.434832   7.490 
110.466040 -9.370855   7.570 
111.806185 -7.464877   2.618 
111.809749 -7.424811   4.943 
111.869735 -7.452847  15.294 
112.020020 -7.436757  33.543 
111.825456 -7.436497   9.661 
111.571273 -7.407175  74.801 
111.737785 -7.431815  68.972 
111.877523 -7.487365  16.220 
111.835295 -7.382544   6.504 
111.991097 -7.524536  46.472 
111.830990 -7.455325   5.657 
111.858732 -7.439435  24.649 
111.727409 -7.530234   5.880 
111.888322 -7.446942  20.867 
111.859554 -7.406297   1.629 
110.532902 -9.014803   8.625 
111.440519 -10.14617  10.0915 
111.842782 -7.428794   1.186 
111.867106 -7.445937   2.375 
111.876563 -7.430318   7.356 
111.917261 -7.544462  24.917 
112.123828 -7.449723   3.782 
111.930957 -7.471919   9.143 
111.968953 -7.487353   3.649 
111.851123 -7.431891   2.263 
111.852108 -7.460187  14.505 
111.761873 -7.484826  17.741 
111.769238 -7.446208   7.430 
111.886979 -7.517631  24.797 
111.921965 -7.527186   6.926 
112.406616 -9.483615   9.446 
112.386914 -9.419713  12.973 
111.918058 -7.439028  23.090 
110.178800 -10.70064   1.8077 
112.256982 -8.982356   5.456 
